mockservice
edp INFO EDP WebServer start, http://192.168.1.103:8830
edp INFO root = [/Users/cgzero/百度云同步盘/htdocs/baidu/imgUploader], listen = [8830] 
edp INFO GET /src/main.js 200 - - 2.619 ms
edp INFO GET /src/lib.js 200 - - 5.041 ms
edp INFO GET /dep/webuploader/webuploader.js 200 - - 12.809 ms
edp INFO GET /src/img/sprite_upload.png 200 - - 1.666 ms
edp INFO PHP request:/example/fileuploadajax.php?uid=koubei&id=WU_FILE_1&name=Traveller_app_2.png&type=image%2Fpng&lastModifiedDate=Sat+Apr+11+2015+20%3A03%3A44+GMT%2B0800+(CST)&size=1809566 | /example/fileuploadajax.php
edp INFO POST /example/fileuploadajax.php?uid=koubei&id=WU_FILE_1&name=Traveller_app_2.png&type=image%2Fpng&lastModifiedDate=Sat+Apr+11+2015+20%3A03%3A44+GMT%2B0800+(CST)&size=1809566 200 - - 123.307 ms
edp INFO GET /example/ 200 - - 0.937 ms
edp INFO GET /src/uploader.less 200 - - 12.144 ms
edp INFO GET /example/jquery.js 200 - - 16.640 ms
edp INFO GET /src/main.js 200 - - 2.567 ms
edp INFO GET /src/lib.js 200 - - 2.148 ms
edp INFO GET /dep/webuploader/webuploader.js 200 - - 11.390 ms
edp INFO GET /src/img/sprite_upload.png 200 - - 0.974 ms
edp INFO PHP request:/example/fileuploadajax.php?uid=koubei&id=WU_FILE_0&name=Traveller_app_2.png&type=image%2Fpng&lastModifiedDate=Sat+Apr+11+2015+20%3A03%3A44+GMT%2B0800+(CST)&size=1809566 | /example/fileuploadajax.php
edp INFO POST /example/fileuploadajax.php?uid=koubei&id=WU_FILE_0&name=Traveller_app_2.png&type=image%2Fpng&lastModifiedDate=Sat+Apr+11+2015+20%3A03%3A44+GMT%2B0800+(CST)&size=1809566 200 - - 42.518 ms
edp INFO GET /example/ 200 - - 1.006 ms
edp INFO GET /src/uploader.less 200 - - 44.903 ms
edp INFO GET /example/jquery.js 200 - - 50.164 ms
edp INFO GET /src/main.js 200 - - 1.624 ms
edp INFO GET /src/lib.js 200 - - 1.675 ms
edp INFO GET /dep/webuploader/webuploader.js 200 - - 12.232 ms
edp INFO GET /src/img/sprite_upload.png 200 - - 1.022 ms
edp INFO GET /favicon.ico 404 - - 2.302 ms
edp INFO PHP request:/example/fileuploadajax.php?uid=koubei&id=WU_FILE_0&name=Traveller_app_2.png&type=image%2Fpng&lastModifiedDate=Sat+Apr+11+2015+20%3A03%3A44+GMT%2B0800+(CST)&size=1809566 | /example/fileuploadajax.php
edp INFO POST /example/fileuploadajax.php?uid=koubei&id=WU_FILE_0&name=Traveller_app_2.png&type=image%2Fpng&lastModifiedDate=Sat+Apr+11+2015+20%3A03%3A44+GMT%2B0800+(CST)&size=1809566 200 - - 45.298 ms
edp INFO GET /example/ 200 - - 0.888 ms
edp INFO GET /src/uploader.less 200 - - 16.054 ms
edp INFO GET /example/jquery.js 200 - - 20.648 ms
edp INFO GET /src/main.js 200 - - 1.977 ms
edp INFO GET /src/lib.js 200 - - 2.578 ms
edp INFO GET /dep/webuploader/webuploader.js 200 - - 11.926 ms
edp INFO GET /src/img/sprite_upload.png 200 - - 0.751 ms
edp INFO PHP request:/example/fileuploadajax.php?uid=koubei&id=WU_FILE_0&name=Traveller_app_2.png&type=image%2Fpng&lastModifiedDate=Sat+Apr+11+2015+20%3A03%3A44+GMT%2B0800+(CST)&size=1809566 | /example/fileuploadajax.php
edp INFO POST /example/fileuploadajax.php?uid=koubei&id=WU_FILE_0&name=Traveller_app_2.png&type=image%2Fpng&lastModifiedDate=Sat+Apr+11+2015+20%3A03%3A44+GMT%2B0800+(CST)&size=1809566 200 - - 45.673 ms
edp INFO GET /example/ 200 - - 1.030 ms
edp INFO GET /src/uploader.less 200 - - 20.516 ms
edp INFO GET /example/jquery.js 200 - - 25.793 ms
edp INFO GET /src/main.js 200 - - 2.075 ms
edp INFO GET /src/lib.js 200 - - 1.737 ms
edp INFO GET /dep/webuploader/webuploader.js 200 - - 12.285 ms
edp INFO GET /src/img/sprite_upload.png 200 - - 0.772 ms
edp INFO PHP request:/example/fileuploadajax.php?uid=koubei&id=WU_FILE_0&name=Traveller_app_2.png&type=image%2Fpng&lastModifiedDate=Sat+Apr+11+2015+20%3A03%3A44+GMT%2B0800+(CST)&size=1809566 | /example/fileuploadajax.php
edp INFO POST /example/fileuploadajax.php?uid=koubei&id=WU_FILE_0&name=Traveller_app_2.png&type=image%2Fpng&lastModifiedDate=Sat+Apr+11+2015+20%3A03%3A44+GMT%2B0800+(CST)&size=1809566 200 - - 44.748 ms
edp INFO GET /example/ 200 - - 0.772 ms
edp INFO GET /src/uploader.less 200 - - 10.104 ms
edp INFO GET /example/jquery.js 200 - - 14.839 ms
edp INFO GET /src/main.js 200 - - 2.348 ms
edp INFO GET /src/lib.js 200 - - 3.792 ms
edp INFO GET /dep/webuploader/webuploader.js 200 - - 12.827 ms
edp INFO GET /src/img/sprite_upload.png 200 - - 1.470 ms
edp INFO PHP request:/example/fileuploadajax.php?uid=koubei&id=WU_FILE_0&name=Traveller_app_2.png&type=image%2Fpng&lastModifiedDate=Sat+Apr+11+2015+20%3A03%3A44+GMT%2B0800+(CST)&size=1809566 | /example/fileuploadajax.php
edp INFO POST /example/fileuploadajax.php?uid=koubei&id=WU_FILE_0&name=Traveller_app_2.png&type=image%2Fpng&lastModifiedDate=Sat+Apr+11+2015+20%3A03%3A44+GMT%2B0800+(CST)&size=1809566 200 - - 129.596 ms
edp INFO GET /example/ 200 - - 0.885 ms
edp INFO GET /src/uploader.less 200 - - 11.968 ms
edp INFO GET /example/jquery.js 200 - - 16.045 ms
edp INFO GET /src/main.js 200 - - 2.056 ms
edp INFO GET /src/lib.js 200 - - 2.756 ms
edp INFO GET /dep/webuploader/webuploader.js 200 - - 14.883 ms
edp INFO GET /src/img/sprite_upload.png 200 - - 1.112 ms
edp INFO PHP request:/example/fileuploadajax.php?uid=koubei&id=WU_FILE_0&name=Traveller_app_2.png&type=image%2Fpng&lastModifiedDate=Sat+Apr+11+2015+20%3A03%3A44+GMT%2B0800+(CST)&size=1809566 | /example/fileuploadajax.php
edp INFO POST /example/fileuploadajax.php?uid=koubei&id=WU_FILE_0&name=Traveller_app_2.png&type=image%2Fpng&lastModifiedDate=Sat+Apr+11+2015+20%3A03%3A44+GMT%2B0800+(CST)&size=1809566 200 - - 48.005 ms
